,timestamp,open,high,low,close,volume,entrydate,entrytime,stockticker
99,2017-12-26 15:25:00,152.61,152.62,152.5886,152.62,1863,2017-12-26,15:25:00,IBM
98,2017-12-26 15:26:00,152.6176,152.65,152.59,152.645,4735,2017-12-26,15:26:00,IBM
97,2017-12-26 15:27:00,152.65,152.65,152.57,152.57,10171,2017-12-26,15:27:00,IBM
96,2017-12-26 15:28:00,152.57,152.61,152.54,152.61,4192,2017-12-26,15:28:00,IBM
95,2017-12-26 15:29:00,152.6,152.6148,152.59,152.59,3749,2017-12-26,15:29:00,IBM
94,2017-12-26 15:30:00,152.6,152.62,152.595,152.62,3689,2017-12-26,15:30:00,IBM
93,2017-12-26 15:31:00,152.62,152.63,152.6,152.61,6156,2017-12-26,15:31:00,IBM
92,2017-12-26 15:32:00,152.6,152.63,152.59,152.61,7269,2017-12-26,15:32:00,IBM
91,2017-12-26 15:33:00,152.62,152.64,152.61,152.64,5078,2017-12-26,15:33:00,IBM
90,2017-12-26 15:34:00,152.64,152.67,152.64,152.65,5919,2017-12-26,15:34:00,IBM
89,2017-12-26 15:35:00,152.66,152.675,152.655,152.675,8600,2017-12-26,15:35:00,IBM
88,2017-12-26 15:36:00,152.67,152.67,152.64,152.645,11441,2017-12-26,15:36:00,IBM
87,2017-12-26 15:37:00,152.645,152.67,152.645,152.6535,5536,2017-12-26,15:37:00,IBM
86,2017-12-26 15:38:00,152.655,152.66,152.63,152.66,6036,2017-12-26,15:38:00,IBM
85,2017-12-26 15:39:00,152.66,152.7,152.66,152.69,7694,2017-12-26,15:39:00,IBM
84,2017-12-26 15:40:00,152.69,152.72,152.6846,152.7154,5701,2017-12-26,15:40:00,IBM
83,2017-12-26 15:41:00,152.7086,152.72,152.69,152.715,5707,2017-12-26,15:41:00,IBM
82,2017-12-26 15:42:00,152.71,152.7256,152.7,152.725,5759,2017-12-26,15:42:00,IBM
81,2017-12-26 15:43:00,152.72,152.75,152.72,152.745,3612,2017-12-26,15:43:00,IBM
80,2017-12-26 15:44:00,152.745,152.76,152.73,152.735,3763,2017-12-26,15:44:00,IBM
79,2017-12-26 15:45:00,152.74,152.75,152.7,152.73,6987,2017-12-26,15:45:00,IBM
78,2017-12-26 15:46:00,152.71,152.765,152.71,152.76,4394,2017-12-26,15:46:00,IBM
77,2017-12-26 15:47:00,152.7675,152.78,152.76,152.7775,4241,2017-12-26,15:47:00,IBM
76,2017-12-26 15:48:00,152.7748,152.7748,152.71,152.71,21718,2017-12-26,15:48:00,IBM
75,2017-12-26 15:49:00,152.71,152.77,152.71,152.77,8071,2017-12-26,15:49:00,IBM
74,2017-12-26 15:50:00,152.7712,152.79,152.74,152.74,21668,2017-12-26,15:50:00,IBM
73,2017-12-26 15:51:00,152.74,152.76,152.71,152.76,19435,2017-12-26,15:51:00,IBM
72,2017-12-26 15:52:00,152.76,152.76,152.73,152.75,20735,2017-12-26,15:52:00,IBM
71,2017-12-26 15:53:00,152.75,152.77,152.7438,152.76,11849,2017-12-26,15:53:00,IBM
70,2017-12-26 15:54:00,152.75,152.755,152.71,152.72,13351,2017-12-26,15:54:00,IBM
69,2017-12-26 15:55:00,152.72,152.73,152.7,152.72,15728,2017-12-26,15:55:00,IBM
68,2017-12-26 15:56:00,152.71,152.73,152.7,152.73,11852,2017-12-26,15:56:00,IBM
67,2017-12-26 15:57:00,152.74,152.77,152.74,152.76,11881,2017-12-26,15:57:00,IBM
66,2017-12-26 15:58:00,152.765,152.8,152.765,152.79,7711,2017-12-26,15:58:00,IBM
65,2017-12-26 15:59:00,152.8,152.82,152.79,152.81,20359,2017-12-26,15:59:00,IBM
64,2017-12-26 16:00:00,152.8,152.88,152.795,152.83,31150,2017-12-26,16:00:00,IBM
63,2017-12-27 09:30:00,152.95,153.05,152.94,153.05,1000,2017-12-27,09:30:00,IBM
62,2017-12-27 09:31:00,153.0,153.0,152.8,152.855,91849,2017-12-27,09:31:00,IBM
61,2017-12-27 09:32:00,152.87,152.87,152.7,152.75,6572,2017-12-27,09:32:00,IBM
60,2017-12-27 09:33:00,152.73,152.84,152.61,152.831,11250,2017-12-27,09:33:00,IBM
59,2017-12-27 09:34:00,152.8,152.8,152.697,152.71,6653,2017-12-27,09:34:00,IBM
58,2017-12-27 09:35:00,152.7098,152.96,152.7098,152.8499,8315,2017-12-27,09:35:00,IBM
57,2017-12-27 09:36:00,152.82,152.85,152.75,152.814,3715,2017-12-27,09:36:00,IBM
56,2017-12-27 09:37:00,152.8195,152.85,152.785,152.8,4397,2017-12-27,09:37:00,IBM
55,2017-12-27 09:38:00,152.84,152.84,152.81,152.83,2810,2017-12-27,09:38:00,IBM
54,2017-12-27 09:39:00,152.822,152.87,152.81,152.87,4523,2017-12-27,09:39:00,IBM
53,2017-12-27 09:40:00,152.85,152.87,152.83,152.83,2300,2017-12-27,09:40:00,IBM
52,2017-12-27 09:41:00,152.8601,152.87,152.75,152.76,5837,2017-12-27,09:41:00,IBM
51,2017-12-27 09:42:00,152.78,152.844,152.78,152.82,2590,2017-12-27,09:42:00,IBM
50,2017-12-27 09:43:00,152.815,152.84,152.735,152.75,2419,2017-12-27,09:43:00,IBM
49,2017-12-27 09:44:00,152.795,152.8,152.75,152.76,2890,2017-12-27,09:44:00,IBM
48,2017-12-27 09:45:00,152.76,152.787,152.67,152.68,4205,2017-12-27,09:45:00,IBM
47,2017-12-27 09:46:00,152.68,152.74,152.68,152.74,2300,2017-12-27,09:46:00,IBM
46,2017-12-27 09:47:00,152.73,152.77,152.67,152.71,5785,2017-12-27,09:47:00,IBM
45,2017-12-27 09:48:00,152.75,152.78,152.725,152.75,2210,2017-12-27,09:48:00,IBM
44,2017-12-27 09:49:00,152.74,152.75,152.7,152.7,3293,2017-12-27,09:49:00,IBM
43,2017-12-27 09:50:00,152.69,152.78,152.69,152.77,3130,2017-12-27,09:50:00,IBM
42,2017-12-27 09:51:00,152.74,152.81,152.73,152.81,5163,2017-12-27,09:51:00,IBM
41,2017-12-27 09:52:00,152.8147,152.87,152.81,152.87,3131,2017-12-27,09:52:00,IBM
40,2017-12-27 09:53:00,152.87,152.91,152.84,152.84,8548,2017-12-27,09:53:00,IBM
39,2017-12-27 09:54:00,152.85,152.89,152.84,152.866,7907,2017-12-27,09:54:00,IBM
38,2017-12-27 09:55:00,152.87,153.0249,152.87,153.01,7830,2017-12-27,09:55:00,IBM
37,2017-12-27 09:56:00,153.04,153.05,153.01,153.01,3575,2017-12-27,09:56:00,IBM
36,2017-12-27 09:57:00,153.025,153.04,153.01,153.02,3484,2017-12-27,09:57:00,IBM
35,2017-12-27 09:58:00,153.01,153.01,152.9243,152.9344,5130,2017-12-27,09:58:00,IBM
34,2017-12-27 09:59:00,152.94,152.99,152.93,152.93,3270,2017-12-27,09:59:00,IBM
33,2017-12-27 10:00:00,152.95,153.0,152.92,152.98,4598,2017-12-27,10:00:00,IBM
32,2017-12-27 10:01:00,153.02,153.1098,152.95,152.965,15685,2017-12-27,10:01:00,IBM
31,2017-12-27 10:02:00,152.965,152.98,152.9,152.9603,3213,2017-12-27,10:02:00,IBM
30,2017-12-27 10:03:00,152.9666,153.0,152.9601,152.98,2396,2017-12-27,10:03:00,IBM
29,2017-12-27 10:04:00,153.0051,153.02,152.9,152.925,3066,2017-12-27,10:04:00,IBM
28,2017-12-27 10:05:00,152.91,152.9217,152.89,152.9,4465,2017-12-27,10:05:00,IBM
27,2017-12-27 10:06:00,152.9,152.93,152.86,152.88,4913,2017-12-27,10:06:00,IBM
26,2017-12-27 10:07:00,152.8947,152.8979,152.86,152.87,2145,2017-12-27,10:07:00,IBM
25,2017-12-27 10:08:00,152.87,152.89,152.86,152.88,5426,2017-12-27,10:08:00,IBM
24,2017-12-27 10:09:00,152.9,152.93,152.88,152.88,1714,2017-12-27,10:09:00,IBM
23,2017-12-27 10:10:00,152.89,152.93,152.87,152.91,3496,2017-12-27,10:10:00,IBM
22,2017-12-27 10:11:00,152.9085,152.97,152.9085,152.9495,3775,2017-12-27,10:11:00,IBM
21,2017-12-27 10:12:00,152.94,152.9645,152.91,152.943,2958,2017-12-27,10:12:00,IBM
20,2017-12-27 10:13:00,152.945,152.95,152.91,152.92,3043,2017-12-27,10:13:00,IBM
19,2017-12-27 10:14:00,152.92,152.92,152.83,152.85,9530,2017-12-27,10:14:00,IBM
18,2017-12-27 10:15:00,152.86,152.93,152.855,152.92,4553,2017-12-27,10:15:00,IBM
17,2017-12-27 10:16:00,152.93,152.93,152.86,152.86,1859,2017-12-27,10:16:00,IBM
16,2017-12-27 10:17:00,152.86,152.921,152.85,152.92,12472,2017-12-27,10:17:00,IBM
15,2017-12-27 10:18:00,152.9228,152.9228,152.9,152.91,2695,2017-12-27,10:18:00,IBM
14,2017-12-27 10:19:00,152.9,152.91,152.885,152.8903,7804,2017-12-27,10:19:00,IBM
13,2017-12-27 10:20:00,152.89,152.89,152.88,152.88,800,2017-12-27,10:20:00,IBM
12,2017-12-27 10:21:00,152.88,152.93,152.88,152.93,1900,2017-12-27,10:21:00,IBM
11,2017-12-27 10:22:00,152.95,152.97,152.94,152.97,1900,2017-12-27,10:22:00,IBM
10,2017-12-27 10:23:00,152.97,152.97,152.9,152.95,2468,2017-12-27,10:23:00,IBM
9,2017-12-27 10:24:00,152.95,152.97,152.91,152.96,9285,2017-12-27,10:24:00,IBM
8,2017-12-27 10:25:00,152.95,152.96,152.94,152.94,1601,2017-12-27,10:25:00,IBM
7,2017-12-27 10:27:00,152.92,152.94,152.92,152.92,635,2017-12-27,10:27:00,IBM
6,2017-12-27 10:28:00,152.95,153.04,152.95,153.04,1149,2017-12-27,10:28:00,IBM
5,2017-12-27 10:29:00,153.04,153.04,152.98,153.02,2134,2017-12-27,10:29:00,IBM
4,2017-12-27 10:30:00,152.97,152.97,152.97,152.97,200,2017-12-27,10:30:00,IBM
3,2017-12-27 10:31:00,152.97,152.97,152.92,152.93,800,2017-12-27,10:31:00,IBM
2,2017-12-27 10:32:00,152.95,152.96,152.95,152.96,200,2017-12-27,10:32:00,IBM
1,2017-12-27 10:33:00,152.95,152.96,152.94,152.94,797,2017-12-27,10:33:00,IBM
0,2017-12-27 10:34:00,152.96,152.96,152.96,152.96,145,2017-12-27,10:34:00,IBM
